Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
1,Marina Rodriguez,0,125,0,0,Women's Flyweight,0,U-DEC,5
0,Michelle Waterson,0,88,1,0,Women's Flyweight,0,U-DEC,5
1,Alex Morono,0,35,0,0,Welterweight,0,KO/TKO,1
0,Donald Cerrone,0,17,0,0,Welterweight,0,KO/TKO,1
1,Neil Magny,0,55,2,0,Welterweight,0,U-DEC,3
0,Geoff Neal,0,35,1,0,Welterweight,0,U-DEC,3
1,Marcos Rogerio de Lima,0,14,3,0,Heavyweight,0,U-DEC,3
0,Maurice Greene,0,5,0,0,Heavyweight,0,U-DEC,3
1,Gregor Gillespie,0,45,4,0,Lightweight,0,KO/TKO,2
0,Diego Ferreira,0,31,0,0,Lightweight,0,KO/TKO,2
1,Phil Hawes,0,66,2,1,Middleweight,0,U-DEC,3
0,Kyle Daukaus,0,28,0,0,Middleweight,0,U-DEC,3
1,Michael Trizano,0,56,0,1,Featherweight,0,U-DEC,3
0,Ludovit Klein,0,45,4,0,Featherweight,0,U-DEC,3
1,Junyong Park,0,71,2,2,Middleweight,0,M-DEC,3
0,Tafon Nchukwi,0,58,1,0,Middleweight,0,M-DEC,3
1,Carlston Harris,0,5,0,1,Welterweight,0,SUB,1
0,Christian Aguilera,0,1,0,0,Welterweight,0,SUB,1
1,Jiri Prochazka,1,77,1,0,Light Heavyweight,0,KO/TKO,2
0,Dominick Reyes,0,63,1,1,Light Heavyweight,0,KO/TKO,2
1,Giga Chikadze,1,12,0,0,Featherweight,0,KO/TKO,1
0,Cub Swanson,0,4,0,0,Featherweight,0,KO/TKO,1
1,Ion Cutelaba,0,71,9,0,Light Heavyweight,0,S-DEC,3
0,Dustin Jacoby,0,84,1,0,Light Heavyweight,0,S-DEC,3
1,Sean Strickland,0,84,0,0,Middleweight,0,U-DEC,3
0,Krzysztof Jotko,0,37,0,0,Middleweight,0,U-DEC,3
1,Merab Dvalishvili,0,71,5,1,Bantamweight,0,U-DEC,3
0,Cody Stamann,0,48,1,0,Bantamweight,0,U-DEC,3
1,Luana Pinheiro,0,29,5,0,Women's Strawweight,0,DQ,1
0,Randa Markos,0,18,0,0,Women's Strawweight,0,DQ,1
1,TJ Brown,0,82,2,1,Featherweight,0,S-DEC,3
0,Kai Kamaka,1,61,1,0,Featherweight,0,S-DEC,3
1,Luana Carolina,0,25,0,0,Women's Flyweight,0,S-DEC,3
0,Poliana Botelho,0,34,1,0,Women's Flyweight,0,S-DEC,3
1,Loma Lookboonmee,0,84,4,0,Women's Strawweight,0,U-DEC,3
0,Sam Hughes,0,49,0,0,Women's Strawweight,0,U-DEC,3
1,Andreas Michailidis,0,73,1,0,Middleweight,0,U-DEC,3
0,KB Bhullar,0,70,0,0,Middleweight,0,U-DEC,3
1,Felipe Colares,0,78,2,0,Featherweight,0,U-DEC,3
0,Luke Sanders,1,118,2,0,Featherweight,0,U-DEC,3
1,Kamaru Usman,1,21,2,0,Welterweight,1,KO/TKO,2
0,Jorge Masvidal,0,31,0,0,Welterweight,1,KO/TKO,2
1,Rose Namajunas,1,5,0,0,Women's Strawweight,1,KO/TKO,1
0,Zhang Weili,0,7,0,0,Women's Strawweight,1,KO/TKO,1
1,Valentina Shevchenko,0,32,7,1,Women's Flyweight,1,KO/TKO,2
0,Jessica Andrade,0,10,0,0,Women's Flyweight,1,KO/TKO,2
1,Uriah Hall,0,0,0,0,Middleweight,0,KO/TKO,1
0,Chris Weidman,0,1,0,0,Middleweight,0,KO/TKO,1
1,Anthony Smith,0,26,0,0,Light Heavyweight,0,KO/TKO,1
0,Jimmy Crute,0,18,3,0,Light Heavyweight,0,KO/TKO,1
1,Randy Brown,1,16,0,1,Welterweight,0,SUB,1
0,Alex Oliveira,0,7,0,0,Welterweight,0,SUB,1
1,Dwight Grant,0,49,1,0,Welterweight,0,S-DEC,3
0,Stefan Sekulic,0,33,3,1,Welterweight,0,S-DEC,3
1,Brendan Allen,0,9,2,1,Middleweight,0,SUB,1
0,Karl Roberson,0,6,0,0,Middleweight,0,SUB,1
1,Pat Sabatini,1,26,1,1,Featherweight,0,U-DEC,3
0,Tristan Connelly,0,19,1,0,Featherweight,0,U-DEC,3
1,Danaa Batgerel,1,7,0,0,Bantamweight,0,KO/TKO,1
0,Kevin Natividad,0,3,0,0,Bantamweight,0,KO/TKO,1
1,Kazula Vargas,0,96,0,1,Lightweight,0,U-DEC,3
0,Rong Zhu,0,42,3,0,Lightweight,0,U-DEC,3
1,Jeff Molina,2,189,0,0,Flyweight,0,U-DEC,3
0,Aori Qileng,0,116,3,0,Flyweight,0,U-DEC,3
1,Ariane Carnelossi,0,24,0,0,Women's Strawweight,0,KO/TKO,2
0,Na Liang,0,19,3,1,Women's Strawweight,0,KO/TKO,2
1,Robert Whittaker,0,150,4,0,Middleweight,0,U-DEC,5
0,Kelvin Gastelum,0,62,1,0,Middleweight,0,U-DEC,5
1,Andrei Arlovski,0,105,0,0,Heavyweight,0,U-DEC,3
0,Chase Sherman,0,88,0,0,Heavyweight,0,U-DEC,3
1,Jacob Malkoun,0,27,8,2,Middleweight,0,U-DEC,3
0,Abdul Razak Alhassan,0,21,0,0,Middleweight,0,U-DEC,3
1,Tracy Cortez,0,66,3,1,Women's Flyweight,0,S-DEC,3
0,Justine Kish,1,55,0,0,Women's Flyweight,0,S-DEC,3
1,Luis Pena,0,90,0,0,Lightweight,0,S-DEC,3
0,Alexander Munoz,0,80,4,0,Lightweight,0,S-DEC,3
1,Alexandr Romanov,0,32,2,0,Heavyweight,0,S-DEC,3
0,Juan Espino,0,12,4,0,Heavyweight,0,S-DEC,3
1,Jessica Penne,0,31,1,0,Women's Strawweight,0,S-DEC,3
0,Loopy Godinez,0,40,3,0,Women's Strawweight,0,S-DEC,3
1,Gerald Meerschaert,0,8,0,1,Middleweight,0,SUB,1
0,Bartosz Fabinski,0,6,1,0,Middleweight,0,SUB,1
1,Austin Hubbard,0,67,1,0,Lightweight,0,U-DEC,3
0,Dakota Bush,0,41,1,0,Lightweight,0,U-DEC,3
1,Tony Gravely,2,39,4,0,Bantamweight,0,KO/TKO,2
0,Anthony Birchak,0,18,0,1,Bantamweight,0,KO/TKO,2
1,Marvin Vettori,0,24,11,1,Middleweight,0,U-DEC,5
0,Kevin Holland,0,37,0,0,Middleweight,0,U-DEC,5
